No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12575,구군명,GGN_NM,VARCHAR2,100,,행정구역 단위로서의 구군의 명칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12576,구글로벌여신약정번호,OD_GBL_LN_MCTC_NO,VARCHAR2,16,,글로벌여신 의 구글로벌여신약정번호는 대환또는는 재약정시 구약정원장의 글로벌여신약정번호를  보관하는 필드입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12577,구글로벌참조번호,OD_GBL_RFR_NO,VARCHAR2,16,,글로벌여신 의 구글로벌참조번호는 계좌통합시 폐기되는 원장의 참조번호를  보관하는 필드입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12578,구금고은행명,BOOFSABX_BNK_NM,VARCHAR2,100,,구금고 업무를 수행하는 은행명칭이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12579,구금고은행코드,BOOFSABX_BNK_C,VARCHAR2,3,,구금고 업무를 담당하는 은행코드이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12580,구기업여신계좌번호,OD_EPR_LN_ACT_NO,VARCHAR2,20,,구 계좌번호의 대체번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12581,구기업외여신계좌번호,OD_EPRX_LN_ACT_NO,VARCHAR2,20,,기업외여신 대출로 전환되는 계좌번호의 이전 계좌번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12582,구단위상품명세번호,OD_UNT_PRD_SFS_NO,VARCHAR2,25,,자산관리기관에서 상품표준종목코드를 매입하는 시점에서 구분하기 위한 유일값을 표현하기위해 상품군별로 Unique 값을 부여함  * 상품군별 체계 . 예금 => 계좌번호(11) + 입금회차 . 집합투자 =>계좌번호(11) . 주식 => 99991231  . 산금채 => 계좌번호(11) . 채권 => 매입일자(8) + 매입순번,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12583,구담보번호,OD_MGE_NO,VARCHAR2,30,,이전의 담보번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12584,구담보변경이력번호,OD_MGE_CHG_HIS_NO,VARCHAR2,9,,구 담보변경 이력 관리를 위한 번호.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12585,구담보변경이력일련번호,OD_MGE_CHG_HIS_SNO,NUMBER,9,,구 담보의 변경 이력 관리를 위한 일련번호 ( 의미없는 일련번호임.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12586,구담보설정번호,OD_MGE_SUP_NO,VARCHAR2,20,,이전의 담보 설정번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12587,구당행매핑신용평가등급ID,OD_TBN_MPN_CRD_EVL_GR_ID,VARCHAR2,5,,10등급체계상 당행매핑신용평가등급ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12588,구독립채산상품ID,OD_IDD_PRFT_PRD_ID,VARCHAR2,20,,차세대 이전 독립채산상품ID(COMMON_COA_ID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12589,구독립채산손익ID,OD_IDD_PRFT_PNL_ID,VARCHAR2,20,,차세대 이전 독립채산손익ID(IS_COA_ID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12590,구독프로그램명,SUBS_PGM_NM,VARCHAR2,100,,이벤트 구독프로그램 조회시 이벤트 구독 프로그램의 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12591,구독프로그램설명,SUBS_PGM_DES,VARCHAR2,300,,이벤트 구독프로그램 조회시 이벤트 구독 프로그램의 설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12592,구등록사유,OD_ENR_RSN,VARCHAR2,1000,,이전 등록사유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12593,구매거래처국가명,PUE_BCQ_NTN_NM,VARCHAR2,100,,글로벌표준뱅킹 구매 거래처 정보 중 구매 거래처의 국가명 정보를 의미함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12594,구매거래처그룹명,PUE_BCQ_GRP_NM,VARCHAR2,100,,글로벌표준뱅킹 구매 거래처 정보 중 구매 거래처 그룹명을 관리하는 속성이다 (예: 전산업체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12595,구매거래처그룹설명,PUE_BCQ_GRP_DES,VARCHAR2,300,,글로벌표준뱅킹 구매 거래처 정보 중 구매 거래처 그룹에 대한 설명(적요)을 의미함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12596,구매거래처그룹일련번호,PUE_BCQ_GRP_SNO,NUMBER,9,,글로벌 표준뱅킹 시스템 경비집행시 구매 거래처 그룹에 대해 자동으로 부여한 일련번호이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12597,구매거래처그룹참조번호,PUE_BCQ_GRP_RFR_NO,VARCHAR2,30,,글로벌표준뱅킹 구매 거래처 정보 중 구매 거래처 그룹 번호를 관리하는 속성이다 (구매 거래처 그룹 등록 시 구매 거래처 그룹별로 자동 부여한 번호(숫자 7자리)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12598,구매거래처글로벌우편번호,PUE_BCQ_GBL_ZIP,VARCHAR2,20,,글로벌 구매 거래처 정보 중 구매 거래처의 우편번호(국가별 우편번호)정보를 관리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,구매거래처명,PUE_BCQ_NM,VARCHAR2,100,,구매거래처의 명칭을 관리한다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12600,구매거래처상세주소,PUE_BCQ_DTL_ADDR,VARCHAR2,300,,속성은 글로벌 구매 거래처 정보 중 구매 거래처의 주소를 관리하는 속성이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12601,구매거래처상품설명,PUE_BCQ_PRD_DES,VARCHAR2,300,,글로벌표준뱅킹 구매 거래처 정보 중 구매 거래처의 상품에 대한 설명(적요)을 의미함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12602,구매거래처소재도시명,PUE_BCQ_LCT_CTY_NM,VARCHAR2,100,,글로벌표준뱅킹 구매 거래처 정보 중 구매 거래처의 소재 도시(City) 정보를 의미함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12603,구매거래처소재행정구역명,PUE_BCQ_LCT_AOG_DST_NM,VARCHAR2,100,,글로벌표준뱅킹 구매 거래처 정보 중 구매 거래처의 소재 주(State) 정보를 의미함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12604,구매거래처어음계좌번호,PUE_BCQ_BILL_ANO,VARCHAR2,35,,속성은 글로벌 구매 거래처 정보 중 구매 거래처의 어음 계좌번호를 관리하는 속성이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12605,구매거래처이메일주소,PUE_BCQ_EML_ADDR,VARCHAR2,100,,글로벌표준뱅킹 구매 거래처 정보 중 구매 거래처의 전자 메일 주소를 의미함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12606,구매거래처일련번호,PUE_BCQ_SNO,NUMBER,9,,글로벌 표준뱅킹 시스템 경비집행시 구매 거래처에 대해 자동으로 부여한 일련번호이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12607,구매거래처전화번호,PUE_BCQ_TPN,VARCHAR2,20,,속성은 글로벌 구매 거래처 정보 중 구매 거래처의 전화번호를 관리하는 속성이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12608,구매거래처주소,PUE_BCQ_ADDR,VARCHAR2,300,,글로벌표준뱅킹 구매 거래처 정보 중 구매 거래처의 주소를 의미함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12609,구매거래처참조번호,PUE_BCQ_RFR_NO,VARCHAR2,30,,속성은 글로벌 구매 거래처 정보 중 구매 거래처의 참조번호 번호를 관리하는 속성이다 (글로벌 시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12610,구매거래처팩스번호,PUE_BCQ_FAX_NO,VARCHAR2,20,,속성은 글로벌 구매 거래처 정보 중 구매 거래처의 팩스번호를 관리하는 속성이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12611,구매건수,PUE_CNT,NUMBER,10,,뱅크월렛 앱에서 지갑비밀번호/PIN/CSNID 등을 이용해서 가맹점의 물품을 구매하는 누적 값을 의미 합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12612,구매결제건수,PUE_STM_CNT,NUMBER,10,,뱅크월렛 앱에서 지갑비밀번호/PIN/CSNID 등을 이용해서 가맹점의 물품 대금들중 전영업일에 구매된것중 결제 처리된  구매 누적 값을 의미 합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12613,구매결제금액,PUE_STM_AMT,NUMBER,18,,뱅크월렛 앱에서 지갑비밀번호/PIN/CSNID 등을 이용해서 가맹점의 물품 대금들중 전영업일에 구매된것중 결제 처리된  구매 누적 금액을 의미 합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12614,구매계약사유,PUE_CTT_RSN,VARCHAR2,600,,구매계약시 사유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12615,구매계약일련번호,PUE_CTT_SNO,NUMBER,9,,구매계약을 구성하는 상세 물품별 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12616,구매계약일자,PUE_CTT_DT,VARCHAR2,8,,물품 구매의 계약 일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12617,구매계약체결적요,PUE_CTT_CNCL_SPS,VARCHAR2,300,,구매계약체결시 적요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12618,구매고객번호,PUE_CNO,VARCHAR2,8,,물품을 구매한 거래처의 고객번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12619,구매관계인설명,PUE_IRPR_DES,VARCHAR2,300,,글로벌표준뱅킹에서 진행하는 금융사업의 관련 원자재공급자에 대해 기술한 내용이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12620,구매교섭력가능성해당여부구분코드,PUE_BGP_PTT_TCS_YN_C,VARCHAR2,1,,표준기술평가모형의 시장확보 가능성 6가지 지표 중 구매자 교섭력코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12621,구매금액,PUE_AMT,NUMBER,18,,뱅크월렛 앱에서 지갑비밀번호/PIN/CSNID 등을 이용해서 가맹점의 물품을 구매하는 누적 금액을 의미 합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12622,구매기업거래지점코드,PUE_EPR_TR_BR_C,VARCHAR2,7,,B2B거래의 전문상의 구매기업거래지점코드를 관리하기 위해 등록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12623,구매기업고객명,PUE_EPR_CST_NM,VARCHAR2,100,,구매기업고객번호의 고객명을 관리한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624,구매기업고객번호,PUE_EPR_CNO,VARCHAR2,8,,구매기업의 고객번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625,구매기업관리번호,PUE_EPR_MNG_NO,VARCHAR2,5,,구매기업 정보를 관리하는 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12626,구매기업담당부서명,PUE_EPR_BICE_DPM_NM,VARCHAR2,100,,구매기업의 B2B업무 담당부서 명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12627,구매기업대표자명,PUE_EPR_RPSR_NM,VARCHAR2,100,,B2B업무에서 구매기업의 대표자 명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12628,구매기업명,PUE_EPR_NM,VARCHAR2,100,,외상매출채권 등을 이용하여 판매기업과 납품-구매 관계에 있는 구매기업의 회사명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12629,구매기업발행한도금액,PUE_EPR_PUB_LMT_AMT,NUMBER,18,,구매 기업이 발행가능한 납품내역(채권 등)의 한도 금액을 저장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12630,구매기업법인등록번호,PUE_EPR_CRN,VARCHAR2,13,,B2B업무에서 구매기업의 법인 등록 번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12631,구매기업본건신청번호,PUE_EPR_TAF_RQS_NO,VARCHAR2,9,,구매기업의 본건신청번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12632,구매기업본건일련번호,PUE_EPR_TAF_SNO,NUMBER,9,,구매기업의 본건일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12633,구매기업사업자등록번호,PUE_EPR_BRN,VARCHAR2,10,,[구매_기업_사업자등록번호] : 구매기업사업자등록번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12634,구매기업상환금액,PUE_EPR_REPA_AMT,NUMBER,18,3,구매기업이 대출 상환한 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12635,구매기업수수료,PUE_EPR_FEE,NUMBER,18,3,B2B 거래시 구매기업의 수수료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12636,구매기업수정신청여부,PUE_EPR_AMN_RQS_YN,VARCHAR2,1,,[구매_기업_수정_신청_여부] : 구매기업이 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12637,구매기업신청일자,PUE_EPR_RQS_DT,VARCHAR2,8,,[구매_기업_신청_일자] : 구매 기업의 수정 업무 신청 일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12638,구매기업업종명,PUE_EPR_TOB_NM,VARCHAR2,100,,B2B업무에서 구매기업의 업종명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12639,구매기업업종코드,PUE_EPR_TOB_C,VARCHAR2,6,,B2B거래의 전문상의 구매기업업종코드를 관리하기 위해 등록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12640,구매기업업체명,PUE_EPR_BNE_NM,VARCHAR2,100,,[구매_기업_업체명] :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12641,구매기업융자상담번호,PUE_EPR_FN_CUN_NO,VARCHAR2,9,,구매기업의 융자상담번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12642,구매기업은행코드,PUE_EPR_BNK_C,VARCHAR2,3,,B2B거래의 전문상의 구매기업은행코드를 관리하기 위해 등록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12643,구매기업일련번호,PUE_EPR_SNO,NUMBER,9,,구매기업 정보를 관리하는 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12644,구매기업전화번호,PUE_EPR_TPN,VARCHAR2,20,,B2B 업무에서 구매기업의 전화 번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12645,구매기업종목명,PUE_EPR_STITM_NM,VARCHAR2,100,,B2B업무에서 구매기업의 종목명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12646,구매기업주요품목명,PUE_EPR_MN_GCL_NM,VARCHAR2,100,,구매기업이 관리하는 주요 품목명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12647,구매기업중계수수료,PUE_EPR_RLY_FEE,NUMBER,18,3,신보를 통한 발주정보의 구매기업의 중계수수료금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12648,구매기업취소신청여부,PUE_EPR_CCL_RQS_YN,VARCHAR2,1,,[구매_기업_취소_신청_여부] : 구매기업이 납품내역 취소 신청 여부를 관리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,구매기업투융자상담번호,PUE_EPR_INL_CUN_NO,VARCHAR2,9,,구매기업업체의 투융자상담번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12650,구매기업팩스번호,PUE_EPR_FAX_NO,VARCHAR2,20,,B2B거래의 전문상에 구매기업팩스번호를 관리하기 위해 등록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12651,구매기업한도거래구분코드,PUE_EPR_LMT_TR_TC,VARCHAR2,2,,구매기업 한도거래 구분코드(10:조회 20:사용 30:상환),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12652,구매대상기업구분코드,PUE_TGT_EPR_TC,VARCHAR2,1,,중소기업구매대상 구분을 위한 구분코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12653,구매동기인지도해당여부구분코드,PUE_MTV_AWA_TCS_YN_C,VARCHAR2,1,,표준기술평가모형의 인지도 6가지 지표 중 구매동기코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12654,구매미결제금액,PUE_UST_AMT,NUMBER,18,,뱅크월렛 앱에서 지갑비밀번호/PIN/CSNID 등을 이용해서 가맹점의 물품 대금들중 전영업일에 구매된것중 처리 요청이 누락되어 미결제 처리된  구매 누적 금액을 의미 합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12655,구매미완료건수,PUE_UCP_CNT,NUMBER,10,,구매거래 미완료처리된 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12656,구매미완료금액,PUE_UCP_AMT,NUMBER,18,3,구매거래 미완료처리된 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12657,구매비고,PUE_RMK,VARCHAR2,300,,매입,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12658,구매상대처고객번호,PUE_OPP_CNO,VARCHAR2,8,,구매처 고객번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12659,구매상품명,PUE_PRD_NM,VARCHAR2,300,,구매한 상품의 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12660,구매연간거래금액,PUE_FTY_TR_AMT,NUMBER,18,3,구매거래의 연간 거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12661,구매연간거래비율,PUE_FTY_TR_RATO,NUMBER,8,5,구매거래의 연간 거래비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12662,구매완료건수,PUE_FSG_CNT,NUMBER,10,,구매거래 완료처리된 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12663,구매완료금액,PUE_FSG_AMT,NUMBER,18,3,구매거래 완료처리된 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12664,구매일련번호,PUE_SNO,NUMBER,9,,자산을 구매할때 순서를 구분하기 위한 번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12665,구매일자,PUE_DT,VARCHAR2,8,,물품의 구매일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12666,구매조건결제기간일수,PUE_CND_STM_TRM_DDS,NUMBER,5,,결재조건의 구매조건 결제기간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12667,구매조건외상비율,PUE_CND_OCIT_RATO,NUMBER,8,5,결재조건의 구매 외상비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12668,구매조건현금비율,PUE_CND_CSH_RATO,NUMBER,8,5,결재조건의 구매 현금비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12669,구매판매RM스프레드금리,PUE_SLE_RM_SRD_IRT,NUMBER,8,5,구매기업 또는 판매기업의 RM스프레드 금리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12670,구매판매고객구분코드,PUE_SLE_CST_TC,VARCHAR2,2,,구매판매 고객을 구분하는 코드로  당행고객 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12671,구매판매구분코드,PUE_SLE_TC,VARCHAR2,1,,해당고객 구매판매 구분코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12672,구매환불건수,PUE_RFD_CNT,NUMBER,10,,구매 환불 처리된 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12673,구매환불금액,PUE_RFD_AMT,NUMBER,18,,구매 환불 처리된 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12674,구매환불미완료건수,PUE_RFD_UCP_CNT,NUMBER,10,,구매환불거래 미완료처리된 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12675,구매환불미완료금액,PUE_RFD_UCP_AMT,NUMBER,18,3,구매환불거래 미완료처리된 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12676,구매환불완료건수,PUE_RFD_FSG_CNT,NUMBER,10,,구매환불거래 완료처리된 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12677,구매환불완료금액,PUE_RFD_FSG_AMT,NUMBER,18,3,구매환불거래 완료처리된 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12678,구메시지코드,OD_MSG_C,VARCHAR2,8,,구 (OLD) 메시지코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12679,구모델신용평가순위일련번호,OD_MODL_CRD_EVL_RKG_SNO,NUMBER,9,,구모델 신용평가 순위,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12680,구문서접수일련번호,OD_DOC_RET_SNO,NUMBER,18,,문서접수시 채번된 일련번호의 이전일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12681,구보고시점신용등급순위일련번호,OD_RPR_PTM_CRD_GR_RKG_SNO,NUMBER,9,,10등급체계상 보고시점신용등급순위일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12682,구보증서회수금액,OD_WGR_RCM_AMT,NUMBER,18,,기존 보증서 잔액 중 회수 대상금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12683,구본건신청번호,OD_TAF_RQS_NO,VARCHAR2,9,,기존건에 대한 본건신청번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12684,구본건일련번호,OD_TAF_SNO,NUMBER,9,,기신청된 본건일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12685,구분명,DTT_NM,VARCHAR2,100,,구분에 따른 명칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12686,구분분류번호,DTT_CLSF_NO,VARCHAR2,6,,대시보드에서 시각화 대상을 구분하는 구분 분류 번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12687,구분언어코드,DTT_LAN_C,VARCHAR2,2,,화면에 사용할 언어를 구분하는 코드를 나타낸다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12688,구분코드ID,TC_ID,VARCHAR2,11,,등록하여 사용될 키 문자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12689,구분코드ID내용,TC_ID_CONE,VARCHAR2,255,,등록하여 사용될 데이터 문자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12690,구분코드사용여부,TC_USE_YN,VARCHAR2,1,,구분코드사용여부(Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12691,구분코드설명,TC_DES,VARCHAR2,2000,,등록할 구분코드 관련 비고사항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12692,구분코드컬럼명,TC_COL_NM,VARCHAR2,255,,등록할 구분코드 컬럼명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12693,구분코드컬럼설명,TC_COL_DES,VARCHAR2,255,,등록할 구분코드 컬럼설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694,구비서류건수,HAL_PES_CNT,NUMBER,2,,NUMBER OF COPIES OF DOCUMENTS REQUIRED ( 주요 구비서류의 통수),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12695,구비서류명,HAL_PES_NM,VARCHAR2,200,,보험계약관련 구비서류정보 관리 해당 서류명칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12696,구비서류코드,HAL_PES_C,VARCHAR2,3,,주요구비서류(Documents Required)    ex)740 Air Waybill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12697,구산출DTI율,OD_CPUT_DTI_RT,NUMBER,8,5,(신DTI반영이전) 고객의 연소득,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12698,구상권청구통지일자,RIDT_DMD_NTI_DT,VARCHAR2,8,,당행이 대지급한 지급보증에 대하여 해당 거래처에게 상환을 청구한 통지일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
