No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,ARS수취정보원길이,ARS_RECV_INF_OG_LEN,NUMBER,10,,ARS로 부터 수취할 데이터 내용의 유형별 데이터 길이 - 고객이 ARS를 통해 입력한 길이와 비교하기 위함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,ARS용도구분코드,ARS_USG_TC,VARCHAR2,2,,인증서발급용도인지 자금이체시 용도인지 구분하는 코드임. (10:인증서관련,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,ARS인증여부,ARS_CER_YN,VARCHAR2,1,,ARS 추가인증 하였는지에 대한 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,ARS일괄수신자료종류코드,ARS_BUP_RMS_MRL_KD_C,VARCHAR2,6,,ARS공동망 일괄전송 자료 종류를 구분하는 코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,ARS출금계좌예금주명,ARS_WIW_ACT_DPW_NM,VARCHAR2,200,,ARS공동망 출금계좌예금주명 등록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,ASF금액,ASF_AMT,NUMBER,18,3,자본,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,ASIS국외점포시스템코드,ASIS_OK_SYS_C,VARCHAR2,3,,글로벌표준뱅킹시스템 ASIS 시스템 코드 정보입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,ASIS국외점포화면번호,ASIS_OK_SRE_NO,VARCHAR2,5,,글로벌표준뱅킹 ASIS 화면번호 정보이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,ASIS글로벌시스템코드,ASIS_GBL_SYS_C,VARCHAR2,3,,글로벌표준뱅킹시스템 ASIS 시스템 코드 정보입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,ASIS메뉴로컬명,ASIS_MNU_LOCL_NM,VARCHAR2,100,,글로벌표준뱅킹시스템에서 사용하는 ASIS 메뉴에 대한 영문 명이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,ASIS메뉴영문명,ASIS_MNU_WREN_NM,VARCHAR2,100,,글로벌표준뱅킹시스템에서 사용하는 ASIS 메뉴의 영문 명이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,ASIS어플리케이션코드,ASIS_APP_C,VARCHAR2,3,,이 코드는 ASIS어플리케이션코드 정보를 관리합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2555,AUD보험입금계좌번호,AUD_ISR_ROM_ACT_NO,VARCHAR2,20,,AUD 보험 입금계좌를 식별하기 위한 고유 계좌번호의 정보 보호를 위한 대체계좌번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,AUD보험입금은행코드,AUD_ISR_ROM_BNK_C,VARCHAR2,3,,AUD보험의 보험사 모계좌 입금은행코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,AUD보험출금계좌번호,AUD_ISR_WIW_ACT_NO,VARCHAR2,20,,AUD 보험 출금계좌를 식별하기 위한 고유 계좌번호의 정보 보호를 위한 대체계좌번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,AUD보험출금은행코드,AUD_ISR_WIW_BNK_C,VARCHAR2,3,,AUD보험의 보험사 모계좌 출금은행코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631,BATCHJOBID,BTC_JOB_ID,VARCHAR2,14,,배치작업을 구분하는 ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,BATCHJOB그룹ID,BTC_JOB_GRP_ID,VARCHAR2,10,,배치작업을 그룹으로 구분하는 ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,BATCHJOB그룹명,BTC_JOB_GRP_NM,VARCHAR2,100,,배치작업그룹 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,BATCHJOB명,BTC_JOB_NM,VARCHAR2,100,,배치작업 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,BATCH구분코드,BTC_TC,VARCHAR2,2,,이 코드는 BATCH구분코드 정보를 관리합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,BATCH기준일자,BTC_BSE_DT,VARCHAR2,8,,배치실행 기준일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,BATCH대상건수,BTC_TGT_CNT,NUMBER,10,,BATCH 처리의 대상이 되는 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,BATCH대상테이블명,BTC_TGT_TB_NM,VARCHAR2,200,,대상_테이블명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[(구) NOTE 정보] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"대상_테이블""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,BATCH등록건수,BTC_ENR_CNT,NUMBER,10,,배치로 실행 시 등록 처리된 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640,BATCH명,BTC_NM,VARCHAR2,100,,배치 프로그램 명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,BATCH변경건수,BTC_CHG_CNT,NUMBER,10,,배치로 실행 시 변경 처리된 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,BATCH보고서발송여부,BTC_REDT_SD_YN,VARCHAR2,1,,외환전산망 보고서 내용중 배치일괄전송구분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,BATCH보험사처리결과코드,BTC_INRCC_PRC_RLT_C,VARCHAR2,2,,보험사 배치전문 송수신 처리 결과 코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,BATCH삭제건수,BTC_DEL_CNT,NUMBER,10,,배치로 실행 시 삭제 처리된 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
