TPRMPP_BPROJM
컬럼명	#	Type	Type Mod	Not Null	디폴트	Comment
PLM_DES	22	VARCHAR2(4000)	[NULL]	false	[NULL]	문제설명
PRLM_HRK_OGZ_C_CONE	23	VARCHAR2(100)	[NULL]	false	[NULL]	인사상위조직코드내용
SVN_DPM_C	24	VARCHAR2(20)	[NULL]	false	[NULL]	주관부서코드
SVN_DPM_NM	25	VARCHAR2(100)	[NULL]	false	[NULL]	주관부서명
SVN_TEM_C	26	VARCHAR2(5)	[NULL]	false	[NULL]	주관팀코드
SVN_TEM_NM	27	VARCHAR2(100)	[NULL]	false	[NULL]	주관팀명
TLR_USID	28	VARCHAR2(14)	[NULL]	false	[NULL]	팀장사용자ID
TLR_NM	29	VARCHAR2(100)	[NULL]	false	[NULL]	팀장명
USID	30	VARCHAR2(14)	[NULL]	false	[NULL]	사용자ID
USR_NM	31	VARCHAR2(100)	[NULL]	false	[NULL]	사용자명
DVM_DPM_C	32	VARCHAR2(20)	[NULL]	false	[NULL]	개발부서코드
DVM_TEM_C	33	VARCHAR2(5)	[NULL]	false	[NULL]	개발팀코드
DVM_TLR_USID	34	VARCHAR2(14)	[NULL]	false	[NULL]	개발팀장사용자ID
DVM_USID	35	VARCHAR2(14)	[NULL]	false	[NULL]	개발사용자ID
BZ_DTT_NM	36	VARCHAR2(100)	[NULL]	false	[NULL]	업무구분명
SKL_FLD_NM	37	VARCHAR2(500)	[NULL]	false	[NULL]	기술분야명
CST_TP_TC_NM	38	VARCHAR2(1000)	[NULL]	false	[NULL]	고객유형구분코드명
ABUS_PPO_CONE	39	VARCHAR2(300)	[NULL]	false	[NULL]	사업목적내용
IT_PTL_EDRT_TC	40	VARCHAR2(2)	[NULL]	false	[NULL]	IT포탈전결권구분코드
IT_PTL_RPR_STS_TC	41	VARCHAR2(2)	[NULL]	false	[NULL]	IT포탈보고상태구분코드
TOT_RQM_AMT	42	NUMBER(18,3)	[NULL]	false	[NULL]	총소요금액
MPL_AMT	43	NUMBER(18,3)	[NULL]	false	[NULL]	예정금액
DFR_AMT	44	NUMBER(18,3)	[NULL]	false	[NULL]	지급금액
CHG_DTT_YN	45	VARCHAR2(1)	[NULL]	true	[NULL]	변경구분여부
CHG_DTM	46	DATE	[NULL]	true	[NULL]	변경일시
CHG_USID	47	VARCHAR2(14)	[NULL]	false	[NULL]	변경사용자ID
FST_ENR_USID	48	VARCHAR2(14)	[NULL]	true	'00000000000000' 	최초등록사용자ID
FST_ENR_DTM	49	DATE	[NULL]	true	sysdate 	최초등록일시
DEL_YN	50	VARCHAR2(1)	[NULL]	true	'N' 	삭제여부
GUID	51	VARCHAR2(38)	[NULL]	true	'00000000000000000000000000000000000000' 	GUID
GUID_PRG_SNO	52	NUMBER(4,0)	[NULL]	true	0 	GUID진행일련번호
LST_CHG_USID	53	VARCHAR2(14)	[NULL]	true	'00000000000000' 	최종변경사용자ID
LST_CHG_DTM	54	DATE	[NULL]	true	sysdate 	최종변경일시
