ID	유형	위험도	언어	레퍼런스	체커 타입	체커 키	체커명	라인	파일명	함수	경로	A.S	유사 이슈 그룹	이슈 상태	이슈 담당자	검출 시간	체커 설명	이슈 의견
967173	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	48	PlanListProjectionIt.java	고유픽스처의필드필터정렬이프로젝션에정확히매핑된다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/plan/repository/PlanListProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967174	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	44	PlanListProjectionIt.java	고유픽스처의필드필터정렬이프로젝션에정확히매핑된다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/plan/repository/PlanListProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967175	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	45	PlanListProjectionIt.java	고유픽스처의필드필터정렬이프로젝션에정확히매핑된다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/plan/repository/PlanListProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967176	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	43	PlanListProjectionIt.java	고유픽스처의필드필터정렬이프로젝션에정확히매핑된다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/plan/repository/PlanListProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967177	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	50	PlanListProjectionIt.java	고유픽스처의필드필터정렬이프로젝션에정확히매핑된다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/plan/repository/PlanListProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967178	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	47	PlanListProjectionIt.java	고유픽스처의필드필터정렬이프로젝션에정확히매핑된다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/plan/repository/PlanListProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967179	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	38	ProjectReferenceProjectionIt.java	고유사업에서현재활성사업명만정확히매핑한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/project/repository/ProjectReferenceProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967180	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	37	ProjectReferenceProjectionIt.java	고유사업에서현재활성사업명만정확히매핑한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/project/repository/ProjectReferenceProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967181	신규	매우위험	Java/JSP		품질	FORWARD_NULL	널 역참조	173	ProjectBudgetSummaryServiceTest.java	lambda$rejectsNullProjectionInputs$0	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/project/service/ProjectBudgetSummaryServiceTest.java	N		미확인	없음	2026-08-11 0:00	널 역참조 체커는 널 상수나 널이 할당된 변수를 역참조하는 경우를 검출합니다.	
967182	신규	매우위험	Java/JSP		품질	FORWARD_NULL	널 역참조	176	ProjectBudgetSummaryServiceTest.java	lambda$rejectsNullProjectionInputs$1	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/project/service/ProjectBudgetSummaryServiceTest.java	N		미확인	없음	2026-08-11 0:00	널 역참조 체커는 널 상수나 널이 할당된 변수를 역참조하는 경우를 검출합니다.	
967183	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	87	ProjectServiceCacheEvictTest.java	seedCacheAndSecurity	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/project/service/ProjectServiceCacheEvictTest.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967184	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	88	ProjectServiceCacheEvictTest.java	seedCacheAndSecurity	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/project/service/ProjectServiceCacheEvictTest.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967185	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	128	BudgetProjectSummaryService.java	getProjectSummary	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/domain/budget/work/service/BudgetProjectSummaryService.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967186	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	59	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
