"category","table","column","field","local","prod","detail"
"COLUMN_TYPE_DIFF","TPRMPP_BTERML","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BTERML","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BTERML","SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BTERMM","BG_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BTERMM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BTERMM","SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CAPPLA","APF_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CAPPLA","FNT_TB_CRY_SNO","컬럼타입","NUMBER(10,0)","NUMBER(10)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CAPPLA","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CAPPLL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CAPPLL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CAPPLM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CAUTHI","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCL","APG_FL_NBR","컬럼타입","NUMBER(10,0)","NUMBER(10)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCL","GRP_SQN_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCL","NAC_INQ_NBR","컬럼타입","NUMBER(10,0)","NUMBER(10)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCL","NAC_LEV_MNG_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCM","APG_FL_NBR","컬럼타입","NUMBER(10,0)","NUMBER(10)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCM","GRP_SQN_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCM","NAC_INQ_NBR","컬럼타입","NUMBER(10,0)","NUMBER(10)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBCM","NAC_LEV_MNG_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBML","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBML","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBML","SRE_SQN_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBMM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_CBLBMM","SRE_SQN_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
