PRLM_OGZ_C_CONE	BBR_NM	BBR_WREN_NM	ITM_SQN_SNO	PRLM_HRK_OGZ_C_CONE	USE_YN	FST_ENR_USID	FST_ENR_DTM	DEL_YN	GUID	GUID_PRG_SNO	LST_CHG_USID	LST_CHG_DTM
110	비서실	Secretariat	49	003	Y	IAMADMIN	2026-06-19 10:53:38.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:38.000
630	검사부	Audit Department	171	004	Y	IAMADMIN	2026-06-19 10:53:39.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:39.000
020	글로벌사업부문	Global Business Division	17	003	Y	IAMADMIN	2026-06-19 10:53:40.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:40.000
008	기업금융부문	Corporate Banking Division	11	003	Y	IAMADMIN	2026-06-19 10:53:40.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:40.000
998	KDB브라질	Banco KDB do Brasil S.A.	945	020	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
989	KDB우즈베키스탄	KDB Bank Uzbekistan	947	020	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
691	PE실	Private Equity Department	107	074	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
716	가산지점	Gasan Branch	235	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
702	강남지점	Gangnam Branch	215	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
055	강남지역본부	Gangnam Regional Head Office	201	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
850	구미지점	Gumi Branch	313	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
701	구로디지털지점	Guro Digital Branch	237	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
335	기업금융3실	Corporate Banking Department Ⅲ	79	008	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
120	종합기획부	Planning Department	141	071	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
812	김해지점	Gimhae Branch	297	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
770	대구지점	Daegu Branch	317	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
730	대전지점	Daejeon Branch	331	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
315	마포지점	Mapo Branch	243	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
964	모스크바사무소	Moscow Representative Office	929	020	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
951	방콕사무소	Bangkok Representative Office	931	020	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
125	법무실	Legal Affairs Department	165	014	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
713	부천지점	Bucheon Branch	261	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
704	서초지점	Seocho Branch	221	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
771	성서지점	Seongseo Branch	319	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
137	수신기획부	Deposit Planning Department	161	038	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
840	시화지점	Sihwa Branch	267	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
390	심사1부	Credit Review Department Ⅰ	115	035	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
969	아부다비사무소	Abu Dhabi Representative Office	925	020	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
845	안산지점	Ansan Branch	269	050	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
311	압구정지점	Apgujeong Branch	223	050	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
820	여수지점	Yeosu Branch	351	050	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
016	연금신탁본부	Pension&Trust Business Center	122	035	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
310	영업부	Headquarters Branch	253	050	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
