No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,도메인그룹
1,0.1퍼센트NPV산출값,P0D1_NPV_CPUT_VL,NUMBER,18,3,수
2,0.1퍼센트NPV산출값시나리오일련번호,P0D1_NPV_CPUT_VL_SRO_SNO,NUMBER,9,,일련번호
3,0퍼센트헤어컷여부,P0_HACU_YN,VARCHAR2,1,,여부
4,100BYTE파일사용여부,BYTE100_FL_USE_YN,VARCHAR2,1,,여부
5,100베이시스포인트현재가치금액,BPS100_PV_AMT,NUMBER,18,3,금액
6,100퍼센트EAD금액,P100_EAD_AMT,NUMBER,18,3,금액
7,10개월가산율,M10_ADAL_RT,NUMBER,8,5,율/비율
8,10개월전KCB계좌상태코드,M10_BF_KCB_ACT_STS_C,VARCHAR2,1,,코드
9,10개월전대출건수,M10_BF_LD_CNT,NUMBER,10,,수
10,10개월전대출금액,M10_BF_LD_AMT,NUMBER,18,3,금액
11,10개월전보유신용카드수,M10_BF_HLD_CRC_NBR,NUMBER,10,,수
12,10개월전사용신용카드수,M10_BF_USE_CRC_NBR,NUMBER,10,,수
13,10개월전신용카드총사용금액,M10_BF_CRC_TOT_USE_AMT,NUMBER,18,3,금액
14,10개월전연체대출건수,M10_BF_DECY_LD_CNT,NUMBER,10,,수
15,10개월전연체대출금액,M10_BF_DECY_LD_AMT,NUMBER,18,3,금액
16,10개월전잔액,M10_BF_BBL,NUMBER,18,,금액
17,10개월전총한도합계금액,M10_BF_TOT_LMT_ADU_AMT,NUMBER,18,3,금액
18,10개월전최장연체일수,M10_BF_LGS_DECY_DDS,NUMBER,5,,수
19,10개월전한국신용정보계좌상태코드,M10_BF_NICE_ACT_STS_C,VARCHAR2,1,,코드
20,10개월전할부사용금액,M10_BF_ISTM_USE_AMT,NUMBER,18,3,금액
21,10개월전할부사용신용카드수,M10_BF_ISTM_USE_CRC_NBR,NUMBER,10,,수
22,10개월전현금서비스사용금액,M10_BF_CAV_USE_AMT,NUMBER,18,3,금액
23,10개월전현금서비스사용신용카드수,M10_BF_CAV_USE_CRC_NBR,NUMBER,10,,수
24,10개월전현금서비스한도합계금액,M10_BF_CAV_LMT_ADU_AMT,NUMBER,18,3,금액
25,10개월초과11개월이하금액,M10_XCS_M11_BLW_AMT,NUMBER,18,3,금액
26,10년기준항목명,Y10_BSE_ITM_NM,VARCHAR2,200,,명칭
27,10년누적수익률,Y10_ACM_ERN_RT,NUMBER,13,10,율/비율
28,10년상환예정금액,Y10_RPMP_AMT,NUMBER,18,3,금액
29,10년상환예정이자,Y10_RPMP_INT,NUMBER,18,3,금액
30,10년수수료율,Y10_FEE_RT,NUMBER,8,5,율/비율
31,10년스왑거래환율,Y10_SWP_TR_XCR,NUMBER,11,6,율/비율
32,10년운용수익률,Y10_UTZ_ERN_RT,NUMBER,13,10,율/비율
33,10년유예기준지분율,Y10_GRAE_BSE_QTA_RT,NUMBER,11,6,율/비율
34,10년유예이전익스포저ID,Y10_GRAE_MVG_XPO_ID,VARCHAR2,30,,ID
35,10년유지율,Y10_MATN_RT,NUMBER,8,5,율/비율
36,10년이내상환계획금액,WIY10_REPA_PLN_AMT,NUMBER,18,3,금액
37,10년이내상환계획이자,WIY10_REPA_PLN_INT,NUMBER,18,3,금액
38,10년이상상환계획금액,OVY10_REPA_PLN_AMT,NUMBER,18,3,금액
39,10년이상상환계획이자,OVY10_REPA_PLN_INT,NUMBER,18,3,금액
40,10년이상스왑거래환율,OVY10_SWP_TR_XCR,NUMBER,11,6,율/비율
41,10년적용이율,Y10_ALY_ITSR,NUMBER,15,10,율/비율
42,10년초과15년이하금액,Y10_XCS_Y15_BLW_AMT,NUMBER,18,3,금액
43,10년초과금액,Y10_XCS_AMT,NUMBER,18,3,금액
44,10년평균금리핵심예금비율,Y10_AVR_IRT_THPT_DETS_RATO,NUMBER,8,5,율/비율
45,10년핵심예금비율평균값,Y10_THPT_DETS_RATO_AVRV,NUMBER,10,6,수
46,10대연령,A10_AGE,NUMBER,10,,단위
47,10대연령이하고객수,A10_AGE_BLW_CST_NBR,NUMBER,10,,수
48,10대연령이하수신잔액,A10_AGE_BLW_DP_BBL,NUMBER,21,3,금액
49,10베이시스포인트현재가치금액,BPS10_PV_AMT,NUMBER,18,3,금액
50,10월고객기여도등급코드,OCT_CST_CDG_GR_C,VARCHAR2,1,,코드
51,10월납입금액,OCT_PAIN_AMT,NUMBER,24,6,금액
52,10월납입일,OCT_PAIN_DD,VARCHAR2,2,,날짜
53,10월납입일자,OCT_PAIN_DT,VARCHAR2,8,,날짜
54,10월물금리,VM10_IRT,NUMBER,8,5,율/비율
55,10월수출실적자사금액,OCT_EXP_RSL_OCM_AMT,NUMBER,18,3,금액
56,10월수출실적타사금액,OCT_EXP_RSL_OCP_AMT,NUMBER,18,3,금액
57,10월수출실적합계금액,OCT_EXP_RSL_ADU_AMT,NUMBER,18,3,금액
58,10월이자상환금액,OCT_INT_REPA_AMT,NUMBER,18,3,금액
59,10월이자상환일자,OCT_INT_REPA_DT,VARCHAR2,8,,날짜
60,10월집계금액,OCT_TLZ_AMT,NUMBER,18,3,금액
61,10월합계건수,OCT_ADU_CNT,NUMBER,10,,수
62,10일엔화예금대미환산금액,D10_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
63,10일외화예금대미환산금액,D10_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
64,10일집계금액,D10_TLZ_AMT,NUMBER,18,3,금액
65,10일차집계금액,SD10_TLZ_AMT,NUMBER,18,3,금액
66,10일후일자,D10_AF_DT,VARCHAR2,8,,날짜
67,10차설문응답내용,SQ10_QUS_RPD_CONE,VARCHAR2,300,,내용
68,10차수표번호,SQ10_CHK_NO,VARCHAR2,8,,번호
69,10차표준산업분류코드,SQ10_STD_IDS_CLSF_C,VARCHAR2,6,,코드
70,10퍼센트이상내입여부,P10_OVR_POA_YN,VARCHAR2,1,,여부
71,10퍼센트이하상승연금지급비율,P10_BLW_ASC_PNS_DFR_RATO,NUMBER,8,5,율/비율
72,10퍼센트이하하락연금지급비율,P10_BLW_FLL_PNS_DFR_RATO,NUMBER,8,5,율/비율
73,10퍼센트초과상승연금지급비율,P10_XCS_ASC_PNS_DFR_RATO,NUMBER,8,5,율/비율
74,10퍼센트초과하락연금지급비율,P10_XCS_FLL_PNS_DFR_RATO,NUMBER,8,5,율/비율
75,11개월가산율,M11_ADAL_RT,NUMBER,8,5,율/비율
76,11개월전KCB계좌상태코드,M11_BF_KCB_ACT_STS_C,VARCHAR2,1,,코드
77,11개월전대출건수,M11_BF_LD_CNT,NUMBER,10,,수
78,11개월전대출금액,M11_BF_LD_AMT,NUMBER,18,3,금액
79,11개월전보유신용카드수,M11_BF_HLD_CRC_NBR,NUMBER,10,,수
80,11개월전사용신용카드수,M11_BF_USE_CRC_NBR,NUMBER,10,,수
81,11개월전신용카드총사용금액,M11_BF_CRC_TOT_USE_AMT,NUMBER,18,3,금액
82,11개월전연체대출건수,M11_BF_DECY_LD_CNT,NUMBER,10,,수
83,11개월전연체대출금액,M11_BF_DECY_LD_AMT,NUMBER,18,3,금액
84,11개월전잔액,M11_BF_BBL,NUMBER,18,,금액
85,11개월전총한도합계금액,M11_BF_TOT_LMT_ADU_AMT,NUMBER,18,3,금액
86,11개월전최장연체일수,M11_BF_LGS_DECY_DDS,NUMBER,5,,수
87,11개월전한국신용정보계좌상태코드,M11_BF_NICE_ACT_STS_C,VARCHAR2,1,,코드
88,11개월전할부사용금액,M11_BF_ISTM_USE_AMT,NUMBER,18,3,금액
89,11개월전할부사용신용카드수,M11_BF_ISTM_USE_CRC_NBR,NUMBER,10,,수
90,11개월전현금서비스사용금액,M11_BF_CAV_USE_AMT,NUMBER,18,3,금액
91,11개월전현금서비스사용신용카드수,M11_BF_CAV_USE_CRC_NBR,NUMBER,10,,수
92,11개월전현금서비스한도합계금액,M11_BF_CAV_LMT_ADU_AMT,NUMBER,18,3,금액
93,11개월초과12개월이하금액,M11_XCS_M12_BLW_AMT,NUMBER,18,3,금액
94,11년상환예정금액,Y11_RPMP_AMT,NUMBER,18,3,금액
95,11년상환예정이자,Y11_RPMP_INT,NUMBER,18,3,금액
96,11월고객기여도등급코드,NOV_CST_CDG_GR_C,VARCHAR2,1,,코드
97,11월납입금액,NOV_PAIN_AMT,NUMBER,24,6,금액
98,11월납입일,NOV_PAIN_DD,VARCHAR2,2,,날짜
99,11월납입일자,NOV_PAIN_DT,VARCHAR2,8,,날짜
100,11월물금리,VM11_IRT,NUMBER,8,5,율/비율
101,11월수출실적자사금액,NOV_EXP_RSL_OCM_AMT,NUMBER,18,3,금액
102,11월수출실적타사금액,NOV_EXP_RSL_OCP_AMT,NUMBER,18,3,금액
103,11월수출실적합계금액,NOV_EXP_RSL_ADU_AMT,NUMBER,18,3,금액
104,11월이자상환금액,NOV_INT_REPA_AMT,NUMBER,18,3,금액
105,11월이자상환일자,NOV_INT_REPA_DT,VARCHAR2,8,,날짜
106,11월집계금액,NOV_TLZ_AMT,NUMBER,18,3,금액
107,11월합계건수,NOV_ADU_CNT,NUMBER,10,,수
108,11일엔화예금대미환산금액,D11_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
109,11일외화예금대미환산금액,D11_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
110,11일집계금액,D11_TLZ_AMT,NUMBER,18,3,금액
111,11일차집계금액,SD11_TLZ_AMT,NUMBER,18,3,금액
112,11차설문응답내용,SQ11_QUS_RPD_CONE,VARCHAR2,300,,내용
113,11차수표번호,SQ11_CHK_NO,VARCHAR2,8,,번호
114,120일평균주식가격,D120_AVR_STK_PR,NUMBER,18,3,금액
115,120퍼센트표준이율,P120_STD_ITSR,NUMBER,8,5,율/비율
116,120퍼센트표준이율환급금액,P120_STD_ITSR_REF_AMT,NUMBER,18,3,금액
117,120퍼센트표준이율환급률,P120_STD_ITSR_REF_RT,NUMBER,8,5,율/비율
118,12개월가산율,M12_ADAL_RT,NUMBER,8,5,율/비율
119,12개월유동성프리미엄률,M12_LQT_PMUM_RT,NUMBER,11,6,율/비율
120,12개월이내거래여부,M12_WTN_TR_YN,VARCHAR2,1,,여부
121,12개월이자주기스프레드율,M12_INT_CLE_SRD_RT,NUMBER,11,6,율/비율
122,12개월적수원화환산금액,M12_ALA_WONC_AMT,NUMBER,18,,금액
123,12개월적용이율,M12_ALY_ITSR,NUMBER,15,10,율/비율
124,12개월전KCB계좌상태코드,M12_BF_KCB_ACT_STS_C,VARCHAR2,1,,코드
125,12개월전대출건수,M12_BF_LD_CNT,NUMBER,10,,수
126,12개월전대출금액,M12_BF_LD_AMT,NUMBER,18,3,금액
127,12개월전보유신용카드수,M12_BF_HLD_CRC_NBR,NUMBER,10,,수
128,12개월전사용신용카드수,M12_BF_USE_CRC_NBR,NUMBER,10,,수
129,12개월전신용카드총사용금액,M12_BF_CRC_TOT_USE_AMT,NUMBER,18,3,금액
130,12개월전연체대출건수,M12_BF_DECY_LD_CNT,NUMBER,10,,수
131,12개월전연체대출금액,M12_BF_DECY_LD_AMT,NUMBER,18,3,금액
132,12개월전잔액,M12_BF_BBL,NUMBER,18,,금액
133,12개월전총한도합계금액,M12_BF_TOT_LMT_ADU_AMT,NUMBER,18,3,금액
134,12개월전최장연체일수,M12_BF_LGS_DECY_DDS,NUMBER,5,,수
135,12개월전한국신용정보계좌상태코드,M12_BF_NICE_ACT_STS_C,VARCHAR2,1,,코드
136,12개월전할부사용금액,M12_BF_ISTM_USE_AMT,NUMBER,18,3,금액
137,12개월전할부사용신용카드수,M12_BF_ISTM_USE_CRC_NBR,NUMBER,10,,수
138,12개월전현금서비스사용금액,M12_BF_CAV_USE_AMT,NUMBER,18,3,금액
139,12개월전현금서비스사용신용카드수,M12_BF_CAV_USE_CRC_NBR,NUMBER,10,,수
140,12개월전현금서비스한도합계금액,M12_BF_CAV_LMT_ADU_AMT,NUMBER,18,3,금액
141,12개월평균한도소진율,M12_AVR_LMT_VNS_RT,NUMBER,8,5,율/비율
142,12개월평잔,M12_AVB,NUMBER,18,3,금액
143,12개월평잔원화환산금액,M12_AVB_WONC_AMT,NUMBER,21,3,금액
144,12개월회계적수,M12_FSC_ALA,NUMBER,18,3,금액
145,12개월회계적수원화환산금액,M12_FSC_ALA_WONC_AMT,NUMBER,18,,금액
146,12월결산연결금액,DEC_SOA_LNK_AMT,NUMBER,18,,금액
147,12월고객기여도등급코드,DEC_CST_CDG_GR_C,VARCHAR2,1,,코드
148,12월납입금액,DEC_PAIN_AMT,NUMBER,24,6,금액
149,12월납입일,DEC_PAIN_DD,VARCHAR2,2,,날짜
150,12월납입일자,DEC_PAIN_DT,VARCHAR2,8,,날짜
151,12월내부거래금액,DEC_ITN_TR_AMT,NUMBER,18,,금액
152,12월내부거래외화금액,DEC_ITN_TR_FC_AMT,NUMBER,18,3,금액
153,12월수출실적자사금액,DEC_EXP_RSL_OCM_AMT,NUMBER,18,3,금액
154,12월수출실적타사금액,DEC_EXP_RSL_OCP_AMT,NUMBER,18,3,금액
155,12월수출실적합계금액,DEC_EXP_RSL_ADU_AMT,NUMBER,18,3,금액
156,12월이자상환금액,DEC_INT_REPA_AMT,NUMBER,18,3,금액
157,12월이자상환일자,DEC_INT_REPA_DT,VARCHAR2,8,,날짜
158,12월집계금액,DEC_TLZ_AMT,NUMBER,18,3,금액
159,12월합계건수,DEC_ADU_CNT,NUMBER,10,,수
160,12일엔화예금대미환산금액,D12_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
161,12일외화예금대미환산금액,D12_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
162,12일집계금액,D12_TLZ_AMT,NUMBER,18,3,금액
163,12일차집계금액,SD12_TLZ_AMT,NUMBER,18,3,금액
164,12차설문응답내용,SQ12_QUS_RPD_CONE,VARCHAR2,300,,내용
165,12차수표번호,SQ12_CHK_NO,VARCHAR2,8,,번호
166,13년전가산월수,Y13_BF_ADAL_MM_NBR,NUMBER,10,,수
167,13년전가입자부담금포함구분코드,Y13_BF_SBR_SHA_ICD_TC,VARCHAR2,1,,코드
168,13년전가입자실물송금금액,Y13_BF_SBR_RTG_RMI_AMT,NUMBER,18,,금액
169,13년전가입자실물이전수량,Y13_BF_SBR_RTG_MVG_QTY,NUMBER,18,,단위
170,13년전가입자실물이전원금,Y13_BF_SBR_RTG_MVG_PRA,NUMBER,15,,금액
171,13년전가입자실물이전평가금액,Y13_BF_SBR_RTG_MVG_EVL_AMT,NUMBER,15,,금액
172,13년전가입자현금송금금액,Y13_BF_SBR_CSH_RMI_AMT,NUMBER,18,,금액
173,13년전근속년수,Y13_BF_CSV_YYS,NUMBER,5,,수
174,13년전근속월수,Y13_BF_CSV_MM_NBR,NUMBER,10,,수
175,13년전기산일자,Y13_BF_RKF_DT,VARCHAR2,8,,날짜
176,13년전제외월수,Y13_BF_EXC_MM_NBR,NUMBER,10,,수
177,13년전퇴직일자,Y13_BF_RTM_DT,VARCHAR2,8,,날짜
178,13년후가산월수,Y13_AF_ADAL_MM_NBR,NUMBER,10,,수
179,13년후가입자퇴직연금원본금액,Y13_AF_SBR_RTP_ORC_AMT,NUMBER,18,3,금액
180,13년후근속년수,Y13_AF_CSV_YYS,NUMBER,5,,수
181,13년후근속월수,Y13_AF_CSV_MM_NBR,NUMBER,10,,수
182,13년후기산일자,Y13_AF_RKF_DT,VARCHAR2,8,,날짜
183,13년후사용자퇴직연금원본금액,Y13_AF_USR_RTP_ORC_AMT,NUMBER,18,3,금액
184,13년후제외월수,Y13_AF_EXC_MM_NBR,NUMBER,10,,수
185,13년후퇴직일자,Y13_AF_RTM_DT,VARCHAR2,8,,날짜
186,13일엔화예금대미환산금액,D13_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
187,13일외화예금대미환산금액,D13_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
188,13일집계금액,D13_TLZ_AMT,NUMBER,18,3,금액
189,13일차집계금액,SD13_TLZ_AMT,NUMBER,18,3,금액
190,13차설문응답내용,SQ13_QUS_RPD_CONE,VARCHAR2,300,,내용
191,14단계20단계등급명,ST14_ST20_GR_NM,VARCHAR2,10,,명칭
192,14단계20단계등급순위일련번호,ST14_ST20_GR_RKG_SNO,NUMBER,9,,일련번호
193,14단계등급명,ST14_GR_NM,VARCHAR2,100,,명칭
194,14일물금리,VD14_IRT,NUMBER,8,5,율/비율
195,14일엔화예금대미환산금액,D14_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
196,14일외화예금대미환산금액,D14_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
197,14일집계금액,D14_TLZ_AMT,NUMBER,18,3,금액
198,14일차집계금액,SD14_TLZ_AMT,NUMBER,18,3,금액
199,14일후일자,D14_AF_DT,VARCHAR2,8,,날짜
200,14차설문응답내용,SQ14_QUS_RPD_CONE,VARCHAR2,300,,내용
201,150일지수이동평균값,D150_IXN_SFT_AVRV,NUMBER,18,3,수
202,150일평균주가이동평균값,D150_AVR_STPE_SFT_AVRV,NUMBER,18,3,수
203,150퍼센트EAD금액,P150_EAD_AMT,NUMBER,18,3,금액
204,15년수수료율,Y15_FEE_RT,NUMBER,8,5,율/비율
205,15년초과20년이하금액,Y15_XCS_Y20_BLW_AMT,NUMBER,18,3,금액
206,15분고가가격,MIN15_HPR_PR,NUMBER,18,3,금액
207,15분시가가격,MIN15_MKPR_PR,NUMBER,18,3,금액
208,15분저가가격,MIN15_LOWP_PR,NUMBER,18,3,금액
209,15분체결TICK수,MIN15_CNCL_TCK_NBR,NUMBER,10,,수
210,15분체결금액,MIN15_CNCL_AMT,NUMBER,18,3,금액
211,15분체결수량,MIN15_CNCL_QTY,NUMBER,10,,단위
212,15일엔화예금대미환산금액,D15_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
213,15일외화예금대미환산금액,D15_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
214,15일집계금액,D15_TLZ_AMT,NUMBER,18,3,금액
215,15일차집계금액,SD15_TLZ_AMT,NUMBER,18,3,금액
216,15주1차수업일자,W15_SQ1_SHCL_DT,VARCHAR2,8,,날짜
217,15주2차수업일자,W15_SQ2_SHCL_DT,VARCHAR2,8,,날짜
218,15주3차수업일자,W15_SQ3_SHCL_DT,VARCHAR2,8,,날짜
219,15차설문응답내용,SQ15_QUS_RPD_CONE,VARCHAR2,300,,내용
220,16일엔화예금대미환산금액,D16_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
221,16일외화예금대미환산금액,D16_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
222,16차설문응답내용,SQ16_QUS_RPD_CONE,VARCHAR2,300,,내용
223,17일엔화예금대미환산금액,D17_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
224,17일외화예금대미환산금액,D17_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
225,17차설문응답내용,SQ17_QUS_RPD_CONE,VARCHAR2,300,,내용
226,180일이하환가요율,D180_BLW_MNYD_PR_RT,NUMBER,8,5,율/비율
227,180일초과가산율,D180_XCS_ADAL_RT,NUMBER,8,5,율/비율
228,180일초과매입여부,D180_XCS_PRH_YN,VARCHAR2,1,,여부
229,180일초과환가료율,D180_XCS_XCFE_RT,NUMBER,8,5,율/비율
230,18일엔화예금대미환산금액,D18_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
231,18일외화예금대미환산금액,D18_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
232,18차설문응답내용,SQ18_QUS_RPD_CONE,VARCHAR2,300,,내용
233,19일엔화예금대미환산금액,D19_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
234,19일외화예금대미환산금액,D19_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
235,19차설문응답내용,SQ19_QUS_RPD_CONE,VARCHAR2,300,,내용
236,1개월가산율,MN1_ADAL_RT,NUMBER,8,5,율/비율
237,1개월금리,MN1_IRT,NUMBER,8,5,율/비율
238,1개월기간수익률,MN1_TRM_ERN_RT,NUMBER,13,10,율/비율
239,1개월기간펀드수익률,MN1_TRM_FND_ERN_RT,NUMBER,11,6,율/비율
240,1개월기준일수,MN1_BSE_DDS,NUMBER,5,,수
241,1개월담보대출원금합계금액내용,MN1_MGE_LD_PRA_ADU_AMT_CONE,VARCHAR2,20,,내용
242,1개월담보대출이자합계금액내용,MN1_MGE_LD_INT_ADU_AMT_CONE,VARCHAR2,20,,내용
243,1개월담보원금합계금액내용,MN1_MGE_PRA_ADU_AMT_CONE,VARCHAR2,20,,내용
244,1개월담보이자합계금액내용,MN1_MGE_INT_ADU_AMT_CONE,VARCHAR2,20,,내용
245,1개월변동외화조달스프레드율,MN1_FLX_FC_PCM_SRD_RT,NUMBER,11,6,율/비율
246,1개월상환원금합계금액내용,MN1_REPA_PRA_ADU_AMT_CONE,VARCHAR2,20,,내용
247,1개월선도환율,MN1_LDR_XCR,NUMBER,11,6,율/비율
248,1개월수익률,MN1_ERN_RT,NUMBER,13,10,율/비율
249,1개월스왑점수,MN1_SWP_RCRD,NUMBER,10,,수
250,1개월신용일시원금합계금액내용,MN1_CRD_DTM_PRA_ADU_AMT_CONE,VARCHAR2,20,,내용
251,1개월신용일시이자합계금액내용,MN1_CRD_DTM_INT_ADU_AMT_CONE,VARCHAR2,20,,내용
252,1개월운용벤치마킹금액,MN1_UTZ_BMK_AMT,NUMBER,18,3,금액
253,1개월운용펀드금액,MN1_UTZ_FND_AMT,NUMBER,18,3,금액
254,1개월이내기타업종신용정보조회건수,WIM1_ETC_TOB_CRD_INF_INQ_CNT,NUMBER,10,,수
255,1개월이내만기금액,WIM1_XRT_AMT,NUMBER,18,3,금액
256,1개월이내만기도래건수,WIM1_XRT_ADV_CNT,NUMBER,10,,수
257,1개월이내만기도래보유여부,WIM1_XRT_ADV_HLD_YN,VARCHAR2,1,,여부
258,1개월이내보험신용정보조회건수,WIM1_ISR_CRD_INF_INQ_CNT,NUMBER,10,,수
259,1개월이내신용정보조회건수,WIM1_CRD_INF_INQ_CNT,NUMBER,10,,수
260,1개월이내은행신용정보조회건수,WIM1_BNK_CRD_INF_INQ_CNT,NUMBER,10,,수
261,1개월이내저축은행신용정보조회건수,WIM1_SVB_CRD_INF_INQ_CNT,NUMBER,10,,수
262,1개월이내카드신용정보조회건수,WIM1_CAD_CRD_INF_INQ_CNT,NUMBER,10,,수
263,1개월이내할부금융신용정보조회건수,WIM1_IFN_CRD_INF_INQ_CNT,NUMBER,10,,수
264,1개월이자주기스프레드율,MN1_INT_CLE_SRD_RT,NUMBER,11,6,율/비율
265,1개월이전체크카드총금액내용,MN1_MVG_CH_TOT_AMT_CONE,VARCHAR2,20,,내용
266,1개월이하금액,MN1_BLW_AMT,NUMBER,18,3,금액
267,1개월장기외화조달스프레드율,MN1_LTM_FC_PCM_SRD_RT,NUMBER,11,6,율/비율
268,1개월장기외화조달평균스프레드율,MN1_LTM_FC_PCM_AVR_SRD_RT,NUMBER,11,6,율/비율
269,1개월전KCB계좌상태코드,MN1_BF_KCB_ACT_STS_C,VARCHAR2,1,,코드
270,1개월전금리,MN1_BF_IRT,NUMBER,8,5,율/비율
271,1개월전금리차이적용금리,MN1_BF_IRT_DFF_ALY_IRT,NUMBER,8,5,율/비율
272,1개월전대비금리변동값,MN1_BF_CPR_IRT_FLX_VL,NUMBER,18,6,수
273,1개월전대비금리변동성값,MN1_BF_CPR_IRT_VLTL_VL,NUMBER,18,3,수
274,1개월전대비금리변동성적용금리,MN1_BF_CPR_IRT_VLTL_ALY_IRT,NUMBER,8,5,율/비율
275,1개월전대비금리차이값,MN1_BF_CPR_IRT_DFF_VL,NUMBER,18,6,수
276,1개월전대출건수,MN1_BF_LD_CNT,NUMBER,10,,수
277,1개월전대출금액,MN1_BF_LD_AMT,NUMBER,18,3,금액
278,1개월전보유신용카드수,MN1_BF_HLD_CRC_NBR,NUMBER,10,,수
279,1개월전사용신용카드수,MN1_BF_USE_CRC_NBR,NUMBER,10,,수
280,1개월전승인합계금액,MN1_BF_APV_ADU_AMT,NUMBER,18,3,금액
281,1개월전신용카드총사용금액,MN1_BF_CRC_TOT_USE_AMT,NUMBER,18,3,금액
282,1개월전연금보험료납입금액,MN1_BF_PNS_ISFE_PAIN_AMT,NUMBER,18,,금액
283,1개월전연체대출건수,MN1_BF_DECY_LD_CNT,NUMBER,10,,수
284,1개월전연체대출금액,MN1_BF_DECY_LD_AMT,NUMBER,18,3,금액
285,1개월전일자,MN1_BF_DT,VARCHAR2,8,,날짜
286,1개월전잔액,MN1_BF_BBL,NUMBER,18,3,금액
287,1개월전총한도합계금액,MN1_BF_TOT_LMT_ADU_AMT,NUMBER,18,3,금액
288,1개월전최장연체일수,MN1_BF_LGS_DECY_DDS,NUMBER,5,,수
289,1개월전한국신용정보계좌상태코드,MN1_BF_NICE_ACT_STS_C,VARCHAR2,1,,코드
290,1개월전할부사용금액,MN1_BF_ISTM_USE_AMT,NUMBER,18,3,금액
291,1개월전할부사용신용카드수,MN1_BF_ISTM_USE_CRC_NBR,NUMBER,10,,수
292,1개월전현금서비스사용금액,MN1_BF_CAV_USE_AMT,NUMBER,18,3,금액
293,1개월전현금서비스사용신용카드수,MN1_BF_CAV_USE_CRC_NBR,NUMBER,10,,수
294,1개월전현금서비스한도합계금액,MN1_BF_CAV_LMT_ADU_AMT,NUMBER,18,3,금액
295,1개월초과2개월이하금액,MN1_XCS_MN2_BLW_AMT,NUMBER,18,3,금액
296,1개월초과3개월이하금액,MN1_XCS_M3_BLW_AMT,NUMBER,18,3,금액
297,1개월최대결과값,MN1_MXM_RLT_VL,NUMBER,30,6,수
298,1개월최소결과값,MN1_MNM_RLT_VL,NUMBER,30,6,수
299,1개월카드분할원금합계금액내용,MN1_CAD_SLT_PRA_ADU_AMT_CONE,VARCHAR2,20,,내용
300,1개월카드분할이자합계금액내용,MN1_CAD_SLT_INT_ADU_AMT_CONE,VARCHAR2,20,,내용
301,1개월카드한도원금합계금액내용,MN1_CAD_LMT_PRA_ADU_AMT_CONE,VARCHAR2,20,,내용
302,1개월카드한도이자합계금액내용,MN1_CAD_LMT_INT_ADU_AMT_CONE,VARCHAR2,20,,내용
303,1개월펀드수익률,MN1_FND_ERN_RT,NUMBER,11,6,율/비율
304,1개월평균외화LCR가중치적용금액,MN1_AVR_FC_LCR_WERE_ALY_AMT,NUMBER,18,3,금액
305,1개월평균원화LCR가중치적용금액,MN1_AVR_WON_LCR_WERE_ALY_AMT,NUMBER,18,3,금액
306,1개월평균종가원화환산금액,MN1_AVR_EDPR_WONC_AMT,NUMBER,18,,금액
307,1개월평균통합LCR가중치적용금액,MN1_AVR_ITR_LCR_WERE_ALY_AMT,NUMBER,18,3,금액
308,1개월평잔,MN1_AVB,NUMBER,18,3,금액
309,1구간건수,SET1_CNT,NUMBER,5,,수
310,1구간금리,SET1_IRT,NUMBER,8,5,율/비율
311,1구간심층분석모형색인번호,SET1_IDE_ANL_MDEL_IDX_NO,VARCHAR2,2,,번호
312,1군국가여부,GR1_NTN_YN,VARCHAR2,1,,여부
313,1년2년여신만기금액,Y1_Y2_LN_XRT_AMT,NUMBER,21,,금액
314,1년6개월초과3년이하금액,Y1_M6_XCS_Y3_BLW_AMT,NUMBER,18,3,금액
315,1년결산년월,Y1_SOA_YM,VARCHAR2,6,,날짜
316,1년고객행동비율,Y1_CST_BHV_RATO,NUMBER,8,5,율/비율
317,1년금리,Y1_IRT,NUMBER,8,5,율/비율
318,1년기간수익률,Y1_TRM_ERN_RT,NUMBER,8,5,율/비율
319,1년기간펀드수익률,Y1_TRM_FND_ERN_RT,NUMBER,11,6,율/비율
