인덱스명	Column	테이블	인덱스 유형	Ascending	Expression	Unique	Tablespace
PK_TPRMPP_CAPPLL	LOG_HIS_TGR_SNO	TPRMPP_CAPPLL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CLOGNH	LGN_LOG_SNO	TPRMPP_CLOGNH	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CCMMTL	LOG_HIS_TGR_SNO	TPRMPP_CCMMTL	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BITEMM_01	ABUS_MNG_NO	TPRMPP_BITEMM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BITEMM_02	ABUS_MNG_NO, FNT_TB_CRY_SNO, DEL_YN, LST_YN	TPRMPP_BITEMM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BITEMM_03	IOE_C, DEL_YN, LST_YN	TPRMPP_BITEMM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BITEMM	GCL_MNG_NO, SNO	TPRMPP_BITEMM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CCODEL_01	CHG_DTM	TPRMPP_CCODEL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CCODEL	LOG_HIS_TGR_SNO	TPRMPP_CCODEL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPLEVL	LOG_HIS_TGR_SNO	TPRMPP_BPLEVL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BSCHDM	IT_PTL_ASCT_ID, CNRC_DT, CNRC_STT_TM, ENO	TPRMPP_BSCHDM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BPLANL_01	CHG_DTM	TPRMPP_BPLANL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BPLANL	LOG_HIS_TGR_SNO	TPRMPP_BPLANL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BBIZGM	ABUS_MNG_NO, SNO	TPRMPP_BBIZGM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CAUTHI	ATH_ID	TPRMPP_CAUTHI	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BPAYMM_01	IT_PTL_STS_TC	TPRMPP_BPAYMM	Normal	[NULL]	[NULL]	false	TSIITP01
